timestamp,GSR
1746081586.4402778,329
1746081586.544651,330
1746081586.6489856,331
1746081586.7533479,332
1746081586.8576837,332
1746081586.9620414,332
1746081587.0663772,332
1746081587.1707363,332
1746081587.2751043,332
1746081587.379429,332
1746081587.4837995,332
1746081587.5881543,332
1746081587.6924837,332
1746081587.7968125,332
1746081587.9011915,332
1746081588.005558,333
1746081588.1098864,332
1746081588.2142549,332
1746081588.318583,333
1746081588.4228938,333
1746081588.527204,333
1746081588.6315384,333
1746081588.7359226,333
1746081588.8402495,333
1746081588.944646,333
1746081589.048961,334
1746081589.153278,334
1746081589.257609,334
1746081589.3619945,334
1746081589.466711,334
1746081589.5710967,335
1746081589.6754558,335
1746081589.7798135,335
1746081589.88423,335
1746081589.9885938,335
1746081590.0933423,336
1746081590.1976812,335
1746081590.302054,336
1746081590.4064097,336
1746081590.5107563,336
1746081590.6154373,336
1746081590.7252178,336
1746081590.8362393,337
1746081590.9488091,336
1746081591.061722,337
1746081591.1749282,337
1746081591.2866988,338
1746081591.3999677,337
1746081591.5121503,343
1746081591.623888,339
1746081591.7370195,338
1746081591.850247,338
1746081591.9634595,339
1746081592.0767348,339
1746081592.1837614,339
1746081592.4062757,339
1746081592.5179818,340
1746081592.6305828,339
1746081592.741676,340
1746081592.8527458,341
1746081592.964339,340
1746081593.0753994,341
1746081593.1887023,340
1746081593.299453,299
1746081593.4093087,341
1746081593.5219436,340
1746081593.635177,340
1746081593.7461874,341
1746081593.8588393,339
1746081593.9699728,338
1746081594.082571,336
1746081594.1935837,334
1746081594.306265,332
1746081594.417623,331
1746081594.5302694,328
1746081594.642872,326
1746081594.7539165,326
1746081594.866504,323
1746081594.9782403,323
1746081595.0864074,321
1746081595.197382,319
1746081595.3084323,318
1746081595.4194171,317
1746081595.5304098,315
1746081595.6414227,315
1746081595.7524066,313
1746081595.8634176,313
1746081595.9744806,312
1746081596.0859632,312
1746081596.196925,312
1746081596.307964,312
1746081596.41894,311
1746081596.5299253,312
1746081596.6408827,312
1746081596.7518547,312
1746081596.8629332,312
1746081596.9739275,311
1746081597.0852196,312
1746081597.1916323,311
